Season,Round,Home,Away,Home_W%
2008,1,ANA,DAL,0.33
2009,2,DET,ANA,0.57
2010,1,ARI,DET,0.43
2011,1,ANA,NSH,0.33
2012,1,ARI,CHI,0.67
2013,1,ANA,DET,0.43
2014,1,ANA,DAL,0.67
2015,2,ANA,CGY,0.8
2016,1,ANA,NSH,0.43
2017,1,ANA,CGY,1
2008,1,MTL,BOS,0.57
2009,2,S.J,ANA,0.33
2010,1,BUF,BOS,0.33
2011,1,DET,ARI,1
2012,2,ARI,NSH,0.8
2013,1,BOS,TOR,0.57
2014,2,ANA,L.A,0.43
2015,1,ANA,WPG,1
2016,1,STL,CHI,0.57
2017,3,ANA,NSH,0.33
2008,1,S.J,CGY,0.57
2009,1,BOS,MTL,1
2010,2,BOS,PHI,0.43
2011,1,BOS,MTL,0.57
2012,3,ARI,L.A,0.2
2013,2,BOS,NYR,0.8
2014,2,BOS,MTL,0.43
2015,3,ANA,CHI,0.43
2016,2,DAL,STL,0.43
2017,2,ANA,EDM,0.57
2008,2,DET,COL,1
2009,2,BOS,CAR,0.43
2010,2,CHI,VAN,0.67
2011,2,PHI,BOS,0
2012,1,BOS,WSH,0.43
2013,4,CHI,BOS,0.67
2014,1,BOS,DET,0.8
2015,1,VAN,CGY,0.33
2016,1,DAL,MIN,0.67
2017,1,OTT,BOS,0.67
2008,1,MIN,COL,0.33
2009,1,CHI,CGY,0.67
2010,1,CHI,NSH,0.67
2011,3,BOS,T.B,0.57
2012,1,NSH,DET,0.8
2013,3,PIT,BOS,0
2014,1,STL,CHI,0.33
2015,2,CHI,MIN,1
2016,1,T.B,DET,0.8
2017,1,CHI,NSH,0
2008,3,DET,DAL,0.67
2009,1,N.J,CAR,0.43
2010,4,CHI,PHI,0.67
2011,4,VAN,BOS,0.43
2012,1,FLA,N.J,0.43
2013,2,CHI,DET,0.57
2014,2,CHI,MIN,0.67
2015,1,NSH,CHI,0.33
2016,1,FLA,NYI,0.33
2017,1,PIT,CBJ,0.8
2008,2,S.J,DAL,0.33
2009,3,PIT,CAR,1
2010,3,S.J,CHI,0
2011,1,PHI,BUF,0.57
2012,1,VAN,L.A,0.2
2013,1,CHI,MIN,0.8
2014,3,CHI,L.A,0.43
2015,4,T.B,CHI,0.33
2016,1,L.A,S.J,0.2
2017,1,EDM,S.J,0.67
2008,1,DET,NSH,0.67
2009,3,DET,CHI,0.8
2010,1,S.J,COL,0.67
2011,1,VAN,CHI,0.57
2012,2,STL,L.A,0
2013,3,CHI,L.A,0.8
2014,1,COL,MIN,0.43
2015,1,T.B,DET,0.57
2016,2,S.J,NSH,0.57
2017,1,MIN,STL,0.2
2008,4,DET,PIT,0.67
2009,2,VAN,CHI,0.33
2010,2,S.J,DET,0.8
2011,2,S.J,DET,0.57
2012,4,N.J,L.A,0.33
2013,1,STL,L.A,0.33
2014,1,PIT,CBJ,0.67
2015,1,STL,MIN,0.33
2016,2,T.B,NYI,0.8
2017,1,MTL,NYR,0.33
2008,2,MTL,PHI,0.2
2009,1,DET,CBJ,1
2010,1,VAN,L.A,0.67
2011,1,S.J,L.A,0.67
2012,2,PHI,N.J,0.2
2013,2,L.A,S.J,0.57
2014,1,S.J,L.A,0.43
2015,1,MTL,OTT,0.67
2016,1,PIT,NYR,0.8
2017,2,STL,NSH,0.33
2008,1,PIT,OTT,1
2009,4,DET,PIT,0.43
2010,3,PHI,MTL,0.8
2011,2,VAN,NSH,0.67
2012,3,NYR,N.J,0.33
2013,1,MTL,OTT,0.2
2014,4,L.A,NYR,0.8
2015,1,WSH,NYI,0.57
2016,1,WSH,PHI,0.67
2017,4,PIT,NSH,0.67
2008,3,PIT,PHI,0.8
2009,1,WSH,NYR,0.57
2010,1,WSH,MTL,0.43
2011,1,WSH,NYR,0.8
2012,2,NYR,WSH,0.57
2013,1,PIT,NYI,0.67
2014,3,MTL,NYR,0.33
2015,2,NYR,WSH,0.57
2016,2,WSH,PIT,0.33
2017,2,OTT,NYR,0.67
2008,1,WSH,PHI,0.43
2009,1,PIT,PHI,0.67
2010,1,N.J,PHI,0.2
2011,1,PIT,T.B,0.43
2012,1,NYR,OTT,0.57
2013,1,WSH,NYR,0.43
2014,1,T.B,MTL,0
2015,1,NYR,PIT,0.8
2016,3,PIT,T.B,0.57
2017,3,PIT,OTT,0.57
2008,1,N.J,NYR,0.2
2009,2,WSH,PIT,0.43
2010,1,PIT,OTT,0.67
2011,3,VAN,S.J,0.8
2012,1,PIT,PHI,0.33
2013,2,PIT,OTT,0.8
2014,2,PIT,NYR,0.43
2015,3,NYR,T.B,0.43
2016,4,PIT,S.J,0.67
2017,2,WSH,PIT,0.43
2008,2,PIT,NYR,0.8
2009,1,VAN,STL,1
2010,2,PIT,MTL,0.43
2011,2,WSH,T.B,0
2012,1,STL,S.J,0.8
2013,1,VAN,S.J,0
2014,1,NYR,PHI,0.57
2015,2,MTL,T.B,0.33
2016,3,STL,S.J,0.33
2017,1,WSH,TOR,0.67
2018,1,NSH,COL,0.67
2018,1,WPG,MIN,0.8
2018,1,VGK,L.A,1
2018,1,ANA,S.J,0
2018,1,T.B,N.J,0.8
2018,1,BOS,TOR,0.57
2018,1,WSH,CBJ,0.67
2018,1,PIT,PHI,0.67
2018,2,NSH,WPG,0.43
2018,2,VGK,S.J,0.67
2018,2,T.B,BOS,0.8
2018,2,WSH,PIT,0.67
2018,3,T.B,WSH,0.43
2018,3,WPG,VGK,0.2
2018,4,VGK,WSH,
