Team,Season,TOI_all,GP,GF.60_all,GA.60_all,G_diff.60_all,xGF.60_all,xGA.60_all,xG_diff.60_all,SF.60_all,SA.60_all,S_diff.60_all,FF.60_all,FA.60_all,F_diff.60_all,CF.60_all,CA.60_all,C_diff.60_all,Sh%_all,Sv%_all
ANA,20072008,4907.32,82,2.41,2.25,0.16,2.18,2.34,-0.16,27.4,28.12,-0.72,38.42,38.05,0.37,48.11,46.85,1.26,8.79,92
ARI,20072008,4994.93,82,2.51,2.7,-0.19,2.4,2.63,-0.23,30.03,30.25,-0.22,40.72,42.22,-1.5,52.78,54.45,-1.67,8.36,91.06
ATL,20072008,5011.78,82,2.48,3.18,-0.71,2.1,2.63,-0.53,25.32,33.31,-7.99,33.53,44.14,-10.61,43.72,57.02,-13.3,9.79,90.44
BOS,20072008,4973.2,82,2.49,2.58,-0.1,2.09,2.42,-0.32,28.09,29.96,-1.87,38.74,40.19,-1.45,50.24,50.76,-0.52,8.85,91.38
BUF,20072008,4981.05,82,3.01,2.81,0.2,2.47,2.26,0.21,29.67,27.89,1.78,40.02,38.61,1.41,51.48,51,0.48,10.11,89.86
CAR,20072008,4964.43,82,3.02,2.97,0.05,2.69,2.57,0.12,32.26,28.62,3.64,44.25,40.13,4.12,59,52.89,6.12,9.37,89.61
CBJ,20072008,4925.52,81,2.27,2.52,-0.26,2.29,2.06,0.23,28.69,26.96,1.73,38.4,35.59,2.8,50.33,46.11,4.23,7.98,90.66
CGY,20072008,4913.27,81,2.72,2.69,0.04,2.56,2.25,0.3,27.84,28.2,-0.35,39.27,38.17,1.1,51,47.44,3.55,9.76,90.41
CHI,20072008,4920.95,81,2.85,2.8,0.05,2.29,2.44,-0.14,27.68,28.31,-0.63,35.6,36.25,-0.65,45.36,46.95,-1.6,10.31,90.09
COL,20072008,4988.2,82,2.69,2.6,0.1,2.45,2.31,0.14,28.25,26.91,1.35,36.98,37.66,-0.69,47.4,50.66,-3.26,9.54,90.34
DAL,20072008,5048.65,82,2.82,2.42,0.39,2.24,2.18,0.05,25.99,25.4,0.59,36.6,35.69,0.92,48.19,45.11,3.08,10.84,90.45
DET,20072008,5045.2,82,3,2.13,0.87,2.73,2.02,0.71,33.54,22.94,10.6,45.85,31.55,14.29,57.92,39.98,17.93,8.94,90.72
EDM,20072008,4935.35,82,2.67,3,-0.33,2.28,2.65,-0.38,26.21,31.28,-5.07,36.85,43.69,-6.84,48.68,57.59,-8.91,10.2,90.4
FLA,20072008,4987.97,82,2.54,2.65,-0.11,2.3,2.64,-0.34,30.65,33.1,-2.45,41.25,44.62,-3.37,53.08,56.4,-3.32,8.28,92.01
L.A,20072008,4876.92,82,2.78,3.24,-0.46,2.6,2.92,-0.33,28.9,32.29,-3.4,40.51,45.59,-5.08,52.78,58.46,-5.68,9.62,89.98
MIN,20072008,4938.5,81,2.66,2.55,0.11,2.01,2.15,-0.14,26.66,29.67,-3.01,37.82,40.38,-2.56,49.51,51.34,-1.83,9.88,91.42
MTL,20072008,4994.87,82,3.09,2.59,0.49,2.41,2.52,-0.11,28.63,31.1,-2.47,39.72,43.8,-4.07,53.48,59.93,-6.45,10.78,91.66
N.J,20072008,5002.25,82,2.37,2.31,0.06,2.37,2.16,0.21,28.33,27.07,1.26,39.21,36.45,2.76,51.19,46.4,4.8,8.38,91.45
NSH,20072008,5056.37,82,2.69,2.66,0.04,2.45,2.3,0.16,28.78,28.94,-0.17,39.28,38.34,0.94,50.51,48.7,1.82,9.36,90.82
NYI,20072008,4987.3,82,2.27,2.89,-0.61,2.43,2.78,-0.35,29.28,29.92,-0.64,39.35,41.53,-2.18,53.26,55.17,-1.91,7.73,90.44
NYR,20072008,5017.63,82,2.45,2.27,0.18,2.66,2.31,0.35,30.82,25.4,5.42,42.74,35.02,7.71,54.96,47.14,7.82,7.95,91.05
OTT,20072008,4978.62,82,3.11,2.92,0.19,2.62,2.56,0.06,29.78,29.6,0.18,41.05,40.17,0.88,54.97,52.35,2.62,10.51,90.19
PHI,20072008,4985.3,82,2.95,2.73,0.22,2.4,2.44,-0.04,28.38,31.39,-3.01,38.93,42.42,-3.49,51.35,56.53,-5.18,10.39,91.3
PIT,20072008,4985.53,82,2.89,2.55,0.34,2.51,2.34,0.18,27.31,30.36,-3.06,38.09,42.77,-4.68,48.91,56.35,-7.44,10.58,91.6
S.J,20072008,4966.3,82,2.61,2.26,0.35,2.68,2.04,0.64,29.33,23.93,5.4,40.55,33.44,7.1,52.12,45.41,6.71,8.9,90.56
STL,20072008,4979.07,82,2.43,2.8,-0.36,2.1,2.49,-0.39,25.79,27.1,-1.31,35.67,39.1,-3.43,45.31,51.64,-6.33,9.44,89.68
T.B,20072008,4963.28,82,2.67,3.22,-0.54,2.28,2.31,-0.02,28.46,27.95,0.51,39.02,38.67,0.35,51.14,51.63,-0.5,9.39,88.49
TOR,20072008,4990.87,82,2.74,3.08,-0.34,2.52,2.63,-0.1,30.56,28.89,1.67,42.76,40.79,1.97,56.13,53.58,2.55,8.97,89.35
