Team,Season,GP,TOI_55,GF.60_55,GA.60_55,G_diff.60_55,xGF.60_55,xGA.60_55,xG_diff.60_55,SF.60_55,SA.60_55,S_diff.60_55,FF.60_55,FA.60_55,F_diff.60_55,CF.60_55,CA.60_55,C_diff.60_55,Sh%_55,Sv%_55
ANA,20072008,82,3429.95,1.89,1.68,0.21,1.8,1.92,-0.12,25.91,26.2,-0.3,36.18,35.65,0.52,45.97,44.4,1.57,7.3,93.62
ARI,20072008,82,3688.57,1.97,2.16,-0.2,2.04,2.27,-0.23,30.26,30.3,-0.05,40.96,42.29,-1.33,52.41,54.26,-1.85,6.62,92.79
ATL,20072008,82,3704.58,1.99,2.77,-0.78,1.77,2.28,-0.51,24.28,33.04,-8.76,32.28,43.71,-11.43,42.55,56.57,-14.03,8.27,91.55
BOS,20072008,82,3652.95,1.99,1.94,0.05,1.88,2.05,-0.17,28.28,28.56,-0.28,39.29,38.12,1.17,51.61,48.72,2.89,6.24,91.98
BUF,20072008,82,3601.63,2.63,2.4,0.23,2.07,1.94,0.13,29.04,27.87,1.17,38.67,38.15,0.52,50.09,51.03,-0.93,9.42,91.12
CAR,20072008,82,3510.95,2.58,2.46,0.12,2.28,2.25,0.03,31.91,28.47,3.43,43.56,40.11,3.45,58.09,53.63,4.46,8.26,91.12
CBJ,20072008,81,3484.48,1.84,2.05,-0.21,1.94,1.68,0.26,28.36,25.83,2.53,37.9,34.13,3.77,49.02,44.32,4.7,6.52,91.98
CGY,20072008,81,3532.9,2.38,2.17,0.2,2.13,1.9,0.24,27.34,27.33,0.02,38.86,37.24,1.61,50.93,46.01,4.93,8.71,92.04
CHI,20072008,81,3466.93,2.47,2.28,0.19,1.95,2.05,-0.1,27.67,28.11,-0.43,35.44,35.77,-0.33,45.57,45.91,-0.35,9.04,91.92
COL,20072008,82,3736.5,2.47,2.18,0.29,2.13,1.97,0.16,27.83,26.75,1.08,36.72,37.4,-0.67,46.84,50.63,-3.79,8.89,91.78
DAL,20072008,82,3580.23,2.33,2.13,0.2,1.84,1.88,-0.04,26.19,25.61,0.59,36.53,35.95,0.59,48.5,45.3,3.2,8.89,91.68
DET,20072008,82,3573.05,2.38,1.71,0.67,2.28,1.69,0.59,32.54,22.89,9.66,45.26,31.4,13.85,56.64,39.98,16.66,7.41,92.4
EDM,20072008,82,3630.25,2.36,2.69,-0.33,2.08,2.19,-0.1,26.41,30.13,-3.72,37.2,42.63,-5.42,48.81,56.46,-7.65,8.95,91.06
FLA,20072008,82,3675.62,2.15,2.2,-0.05,1.96,2.26,-0.3,29.95,32.6,-2.64,40.39,43.94,-3.56,52.27,55.08,-2.81,6.95,93.16
L.A,20072008,82,3664.47,2.21,2.82,-0.61,1.99,2.48,-0.48,26.79,31.98,-5.19,37.53,45.44,-7.91,48.97,58.22,-9.25,8.25,91.19
MIN,20072008,81,3553.92,2.13,2.28,-0.15,1.66,1.92,-0.26,25.56,29.44,-3.88,36.6,40.2,-3.6,48.66,51.14,-2.48,8.21,92.26
MTL,20072008,82,3570.98,2.35,2.3,0.05,1.93,2.2,-0.27,26.78,30.82,-4.03,37.45,43.01,-5.56,51.03,59.55,-8.52,8.55,92.56
N.J,20072008,82,3602.73,1.92,1.92,0,2.01,1.83,0.18,27.05,25.63,1.42,37.52,34.52,3,49.33,44.7,4.63,7.04,92.66
NSH,20072008,82,3564.12,2.39,2.37,0.02,2.27,2.05,0.22,29.19,29.75,-0.56,40.02,39.51,0.51,51.24,50.02,1.23,8.29,91.96
NYI,20072008,82,3612.5,1.98,2.19,-0.22,2.24,2.25,-0.02,29.68,28.58,1.1,40.03,39.91,0.12,54.05,53.22,0.83,6.73,92.39
NYR,20072008,82,3616.98,2.14,1.81,0.33,2.28,2.01,0.27,29.93,24.73,5.19,41.7,34.11,7.6,53.73,45.88,7.85,7.15,92.68
OTT,20072008,82,3609.28,2.68,2.43,0.25,2.21,2.13,0.07,29.64,28.93,0.71,40.21,39.46,0.75,54.01,51.13,2.88,9.83,91.79
PHI,20072008,82,3438.78,2.13,2.34,-0.21,1.99,2.2,-0.2,27.53,31.49,-3.96,37.43,42.56,-5.13,49.83,56.76,-6.93,7.84,92.41
PIT,20072008,82,3514.5,2.37,2.03,0.34,2.06,2.03,0.03,26.48,30.52,-4.05,36.74,42.71,-5.98,47.29,56.83,-9.54,8.96,93.43
S.J,20072008,82,3567.3,2.19,1.95,0.24,2.25,1.69,0.56,28.32,22.96,5.37,39.54,32.21,7.33,51.2,43.87,7.33,7.92,91.54
STL,20072008,82,3606.5,2.25,2.33,-0.08,1.86,2.07,-0.21,26.39,26.87,-0.48,36.32,38.53,-2.21,45.4,50.48,-5.07,8.55,91.18
T.B,20072008,82,3788.03,2.14,2.69,-0.55,1.89,1.93,-0.04,27.58,27.21,0.36,37.81,37.82,-0.02,49.67,50.91,-1.24,7.92,89.91
TOR,20072008,82,3557.68,2.48,2.55,-0.07,2.24,2.2,0.04,30.19,27.66,2.53,42.72,39.68,3.04,56.11,52.57,3.54,8.38,90.96
VAN,20072008,82,3494.45,2.03,2.09,-0.07,1.88,2,-0.12,25.82,27.59,-1.77,36.61,38.99,-2.39,47.51,50.84,-3.33,7.85,92.41
WSH,20072008,82,3660.9,2.39,2.2,0.2,2.29,1.85,0.44,30.93,25.83,5.1,43.32,35.2,8.11,58.41,46.73,11.69,7.58,91.45
ANA,20082009,82,3645.18,2.39,2.14,0.25,2.14,2.01,0.13,28.41,28.21,0.2,40.08,39.31,0.77,50.35,48.47,1.88,8.4,92.42
ARI,20082009,81,3733.4,2.02,2.54,-0.51,1.85,2.26,-0.4,26.66,31.15,-4.48,36.75,43.92,-7.17,48.92,58.48,-9.56,7.59,91.85
ATL,20082009,82,3616.12,2.44,2.65,-0.22,2.23,2.51,-0.28,27.05,32.04,-4.99,37.27,43.01,-5.74,48.48,56.26,-7.78,9.02,91.67
BOS,20082009,81,3737.65,2.65,1.8,0.85,2.2,2.15,0.06,29.17,29.84,-0.67,40.05,39.59,0.47,53.07,51.95,1.12,9.08,93.98
BUF,20082009,82,3609.03,2.48,2.39,0.08,2.05,1.92,0.13,30.22,30.27,-0.05,40.42,41.36,-0.95,52.58,54.15,-1.56,8.2,92.05
CAR,20082009,82,3645.17,2.17,2.22,-0.05,2.39,2.32,0.07,31.97,28.57,3.39,44.89,40.57,4.31,59.91,55.01,4.91,6.85,92.17
CBJ,20082009,82,3683.35,2.46,2.13,0.33,1.96,1.86,0.09,28.56,25.66,2.9,38.61,34.97,3.63,50.5,46.57,3.93,8.61,91.68
CGY,20082009,81,3562.4,2.69,2.53,0.17,2.31,2.01,0.3,32.47,28.26,4.21,45.39,39.09,6.3,60.63,48.14,12.5,8.3,91.06
CHI,20082009,82,3646.73,2.39,2.04,0.35,2.27,2,0.27,32.22,26.87,5.35,42.84,34.93,7.91,54.74,44.28,10.46,7.45,92.42
COL,20082009,82,3746.78,1.94,2.63,-0.69,1.89,1.99,-0.09,27.9,28.54,-0.64,37.68,40.88,-3.2,49.64,56.72,-7.08,7.05,90.75
DAL,20082009,82,3640.98,2.42,2.59,-0.16,1.94,2.07,-0.14,27.39,27.73,-0.35,39.32,38.76,0.56,50.38,50.61,-0.23,8.84,90.67
