Year,Home,Away,Home_W%
2008,ANA,DAL,0.33
2009,DET,ANA,0.57
2010,ARI,DET,0.43
2011,ANA,NSH,0.33
2012,ARI,CHI,0.67
2013,ANA,DET,0.43
2014,ANA,DAL,0.67
2015,ANA,CGY,0.8
2016,ANA,NSH,0.43
2017,ANA,CGY,1
2008,MTL,BOS,0.57
2009,S.J,ANA,0.33
2010,BUF,BOS,0.33
2011,DET,ARI,1
2012,ARI,NSH,0.8
2013,BOS,TOR,0.57
2014,ANA,L.A,0.43
2015,ANA,WPG,1
2016,STL,CHI,0.57
2017,ANA,NSH,0.33
2008,S.J,CGY,0.57
2009,BOS,MTL,1
2010,BOS,PHI,0.43
2011,BOS,MTL,0.57
2012,ARI,L.A,0.2
2013,BOS,NYR,0.8
2014,BOS,MTL,0.43
2015,ANA,CHI,0.43
2016,DAL,STL,0.43
2017,ANA,EDM,0.57
2008,DET,COL,1
2009,BOS,CAR,0.43
2010,CHI,VAN,0.67
2011,PHI,BOS,0
2012,BOS,WSH,0.43
2013,CHI,BOS,0.67
2014,BOS,DET,0.8
2015,VAN,CGY,0.33
2016,DAL,MIN,0.67
2017,OTT,BOS,0.67
2008,MIN,COL,0.33
2009,CHI,CGY,0.67
2010,CHI,NSH,0.67
2011,BOS,T.B,0.57
2012,NSH,DET,0.8
2013,PIT,BOS,0
2014,STL,CHI,0.33
2015,CHI,MIN,1
2016,T.B,DET,0.8
2017,CHI,NSH,0
2008,DET,DAL,0.67
2009,N.J,CAR,0.43
2010,CHI,PHI,0.67
2011,VAN,BOS,0.43
2012,FLA,N.J,0.43
2013,CHI,DET,0.57
2014,CHI,MIN,0.67
2015,NSH,CHI,0.33
2016,FLA,NYI,0.33
2017,PIT,CBJ,0.8
2008,S.J,DAL,0.33
2009,PIT,CAR,1
2010,S.J,CHI,0
2011,PHI,BUF,0.57
2012,VAN,L.A,0.2
2013,CHI,MIN,0.8
2014,CHI,L.A,0.43
2015,T.B,CHI,0.33
2016,L.A,S.J,0.2
2017,EDM,S.J,0.67
2008,DET,NSH,0.67
2009,DET,CHI,0.8
2010,S.J,COL,0.67
2011,VAN,CHI,0.57
2012,STL,L.A,0
2013,CHI,L.A,0.8
2014,COL,MIN,0.43
2015,T.B,DET,0.57
2016,S.J,NSH,0.57
2017,MIN,STL,0.2
2008,DET,PIT,0.67
2009,VAN,CHI,0.33
2010,S.J,DET,0.8
2011,S.J,DET,0.57
2012,N.J,L.A,0.33
2013,STL,L.A,0.33
2014,PIT,CBJ,0.67
2015,STL,MIN,0.33
2016,T.B,NYI,0.8
2017,MTL,NYR,0.33
2008,MTL,PHI,0.2
2009,DET,CBJ,1
2010,VAN,L.A,0.67
2011,S.J,L.A,0.67
2012,PHI,N.J,0.2
2013,L.A,S.J,0.57
2014,S.J,L.A,0.43
2015,MTL,OTT,0.67
2016,PIT,NYR,0.8
2017,STL,NSH,0.33
2008,PIT,OTT,1
2009,DET,PIT,0.43
2010,PHI,MTL,0.8
2011,VAN,NSH,0.67
2012,NYR,N.J,0.33
2013,MTL,OTT,0.2
2014,L.A,NYR,0.8
2015,WSH,NYI,0.57
2016,WSH,PHI,0.67
2017,PIT,NSH,0.67
2008,PIT,PHI,0.8
2009,WSH,NYR,0.57
2010,WSH,MTL,0.43
2011,WSH,NYR,0.8
2012,NYR,WSH,0.57
2013,PIT,NYI,0.67
2014,MTL,NYR,0.33
2015,NYR,WSH,0.57
2016,WSH,PIT,0.33
2017,OTT,NYR,0.67
2008,WSH,PHI,0.43
2009,PIT,PHI,0.67
2010,N.J,PHI,0.2
2011,PIT,T.B,0.43
2012,NYR,OTT,0.57
2013,WSH,NYR,0.43
2014,T.B,MTL,0
2015,NYR,PIT,0.8
2016,PIT,T.B,0.57
2017,PIT,OTT,0.57
2008,N.J,NYR,0.2
2009,WSH,PIT,0.43
2010,PIT,OTT,0.67
2011,VAN,S.J,0.8
2012,PIT,PHI,0.33
2013,PIT,OTT,0.8
2014,PIT,NYR,0.43
2015,NYR,T.B,0.43
2016,PIT,S.J,0.67
2017,WSH,PIT,0.43
2008,PIT,NYR,0.8
2009,VAN,STL,1
2010,PIT,MTL,0.43
2011,WSH,T.B,0
2012,STL,S.J,0.8
2013,VAN,S.J,0
2014,NYR,PHI,0.57
2015,MTL,T.B,0.33
2016,STL,S.J,0.33
2017,WSH,TOR,0.67
2018,NSH,COL,
2018,WPG,MIN,
2018,VGK,L.A,
2018,ANA,S.J,
2018,T.B,N.J,
2018,BOS,TOR,
2018,WSH,CBJ,
2018,PIT,PHI,
