Team,Season,HDCF%_55,Time_Led,Playoff Wins,ENGF,ENGA,PP%,PK%,W,ROW,Berg
ANA,2008,49.45,18.7,2,6,6,16.6,83.1,47,39,0.686
ATL,2008,46.42,12.6,-1,9,6,16.5,78.8,34,25,0.506
BOS,2008,45.69,20.62,3,8,6,17.6,78.6,41,35,0.62
BUF,2008,53.41,18.98,-1,8,8,18,83.2,39,35,0.601
CGY,2008,52.11,19.13,3,8,5,16.8,81.5,42,39,0.632
CAR,2008,52.63,21.08,-1,5,6,18.8,78.9,43,41,0.601
CHI,2008,45.97,19.25,-1,10,10,15.9,82.1,40,35,0.592
COL,2008,51.39,17.28,4,8,11,14.6,81.4,44,37,0.63
CBJ,2008,55.22,17.25,-1,9,9,14.9,83.3,34,31,0.54
DAL,2008,46.19,22.22,10,8,9,18.1,85.6,45,40,0.655
DET,2008,54.94,25.47,16,9,4,20.7,84,54,49,0.762
EDM,2008,50.08,17.67,-1,6,10,16.6,84.7,41,26,0.596
FLA,2008,45.9,19.05,-1,6,5,19.2,82.4,38,33,0.553
L.A,2008,41.23,15.07,-1,8,10,17.4,78,32,27,0.494
MIN,2008,40.41,20.33,2,4,2,18.9,85.2,44,41,0.645
MTL,2008,44.56,23.7,5,6,6,24.1,82.5,47,42,0.686
NSH,2008,50.45,19.58,2,9,7,14.8,85.4,41,38,0.601
N.J,2008,54.14,18.97,1,5,8,15.6,82.8,46,38,0.662
NYI,2008,47.45,14.23,-1,5,9,14.5,81.9,35,30,0.541
NYR,2008,52.24,21.48,5,4,5,16.5,84.5,42,34,0.667
OTT,2008,49.93,21.97,0,10,8,18.3,81.1,43,40,0.635
PHI,2008,49.62,19.92,9,7,5,21.8,83.2,42,39,0.629
ARI,2008,48.79,17.67,-1,9,8,18.6,80.7,38,33,0.557
PIT,2008,53.43,21.2,14,10,5,20.4,81,47,40,0.68
S.J,2008,59.18,23.27,6,2,6,18.7,85.8,49,43,0.718
STL,2008,46.96,17.53,-1,9,9,14.1,84.4,33,30,0.538
