Team,Season,HDCF,Time Led,Playoff Wins,GF_EN,GA_EN,PP%,PK%,W,ROW,,,,,
ANA,2008,49.45,18.7,2,6,6,16.6,83.1,47,39,,,,,
ATL,2008,46.42,12.6,-1,9,6,16.5,78.8,34,25,,,,,
BOS,2008,45.69,20.62,3,8,6,17.6,78.6,41,35,,,,,
BUF,2008,53.41,18.98,-1,8,8,18.0,83.2,39,35,,,,,
CGY,2008,52.11,19.13,3,8,5,16.8,81.5,42,39,,,,,
CAR,2008,52.63,21.08,-1,5,6,18.8,78.9,43,41,,,,,
CHI,2008,45.97,19.25,-1,10,10,15.9,82.1,40,35,,,,,
COL,2008,51.39,17.28,4,8,11,14.6,81.4,44,37,,,,,
CBJ,2008,55.22,17.25,-1,9,9,14.9,83.3,34,31,,,,,
DAL,2008,46.19,22.22,10,8,9,18.1,85.6,45,40,,,,,
DET,2008,54.94,25.47,16,9,4,20.7,84.0,54,49,,,,,
EDM,2008,50.08,17.67,-1,6,10,16.6,84.7,41,26,,,,,
FLA,2008,45.9,19.05,-1,6,5,19.2,82.4,38,33,,,,,
L.A,2008,41.23,15.07,-1,8,10,17.4,78.0,32,27,,,,,
MIN,2008,40.41,20.33,2,4,2,18.9,85.2,44,41,,,,,
MTL,2008,44.56,23.7,5,6,6,24.1,82.5,47,42,,,,,
NSH,2008,50.45,19.58,2,9,7,14.8,85.4,41,38,,,,,
N.J,2008,54.14,18.97,1,5,8,15.6,82.8,46,38,,,,,
NYI,2008,47.45,14.23,-1,5,9,14.5,81.9,35,30,,,,,
NYR,2008,52.24,21.48,5,4,5,16.5,84.5,42,34,,,,,
OTT,2008,49.93,21.97,0,10,8,18.3,81.1,43,40,,,,,
PHI,2008,49.62,19.92,9,7,5,21.8,83.2,42,39,,,,,
ARI,2008,48.79,17.67,-1,9,8,18.6,80.7,38,33,,,,,
PIT,2008,53.43,21.2,14,10,5,20.4,81.0,47,40,,,,,
S.J,2008,59.18,23.27,6,2,6,18.7,85.8,49,43,,,,,
STL,2008,46.96,17.53,-1,9,9,14.1,84.4,33,30,,,,,
T.B,2008,50.52,17.9,-1,11,14,19.3,82.1,31,29,,,,,
TOR,2008,45.12,17.57,-1,4,8,17.8,78.1,36,33,,,,,
VAN,2008,50.38,18.62,-1,5,3,17.1,82.6,39,33,,,,,
WSH,2008,52.05,20.05,3,7,7,18.8,80.5,43,39,,,,,
ANA,2009,53.54,19.13,7,4,9,23.6,79.7,42,35,,,,,
ATL,2009,45.62,15.75,-1,8,9,19.3,76.0,35,28,,,,,
BOS,2009,53.22,25.5,7,12,5,23.6,82.4,53,49,,,,,
BUF,2009,51.01,22.03,-1,3,8,20.9,81.8,41,33,,,,,
CGY,2009,53.81,18.93,2,9,6,17.0,83.4,46,43,,,,,
CAR,2009,52.08,19.9,8,7,11,18.7,80.4,45,42,,,,,
CHI,2009,52.28,22.45,9,16,6,19.3,80.6,46,42,,,,,
COL,2009,47.12,13.92,-1,0,9,15.7,79.9,32,23,,,,,
CBJ,2009,54.47,18.93,0,7,9,12.7,82.1,41,35,,,,,
DAL,2009,43.78,18.02,-1,6,9,15.4,78.6,36,30,,,,,
DET,2009,53.56,24.3,15,9,5,25.5,78.3,51,45,,,,,
EDM,2009,47.86,19.15,-1,9,5,16.9,77.5,38,32,,,,,
FLA,2009,45.41,19.82,-1,9,11,16.6,82.6,41,38,,,,,
L.A,2009,48.4,17.17,-1,9,11,19.2,82.9,34,29,,,,,
MIN,2009,46.88,19.32,-1,8,6,20.1,87.6,40,35,,,,,
MTL,2009,45.58,19.25,0,7,4,19.3,82.4,41,34,,,,,
NSH,2009,46.08,15.42,-1,7,13,15.7,82.5,40,34,,,,,
N.J,2009,54.37,24.17,3,6,8,18.9,79.9,51,45,,,,,
NYI,2009,42.56,16.22,-1,5,8,16.9,79.8,26,23,,,,,
NYR,2009,50.95,18.47,3,7,5,13.9,87.8,43,33,,,,,
OTT,2009,46.41,17.38,-1,4,13,19.5,81.5,36,32,,,,,
PHI,2009,47.64,20.33,2,11,3,22.5,83.0,44,40,,,,,
ARI,2009,46.72,17.42,-1,8,7,14.5,76.8,36,33,,,,,
PIT,2009,48.67,20.57,16,9,8,17.2,82.7,45,39,,,,,
S.J,2009,56.99,22.62,2,7,2,24.2,83.3,53,47,,,,,
STL,2009,50.08,19.15,0,7,9,20.5,83.8,41,35,,,,,
T.B,2009,50.98,14.95,-1,2,10,17.8,78.0,24,21,,,,,
TOR,2009,48.36,15.83,-1,6,5,18.8,74.7,34,28,,,,,
VAN,2009,53.34,22.28,6,8,6,18.8,81.4,45,42,,,,,
WSH,2009,51.2,23.53,7,16,6,25.2,80.6,50,46,,,,,
ANA,2010,45.1,20.77,-1,7,9,21.0,79.3,39,34,,,,,
ATL,2010,45.16,15.17,-1,5,8,16.1,82.2,35,31,,,,,
BOS,2010,51.79,17.83,7,4,3,16.6,86.4,39,29,,,,,
BUF,2010,50.81,20.17,2,3,7,17.6,86.6,45,41,,,,,
CGY,2010,51.97,21.77,-1,8,5,16.0,82.3,40,37,,,,,
CAR,2010,44.51,18.82,-1,12,15,16.9,80.6,35,31,,,,,
CHI,2010,54.5,26.48,16,2,4,17.7,85.3,52,43,,,,,
COL,2010,48.52,23.07,2,8,10,18.1,80.2,43,36,,,,,
CBJ,2010,53.22,18.07,-1,11,3,18.2,81.7,32,30,,,,,
DAL,2010,48.3,17.73,-1,4,9,18.6,77.4,37,30,,,,,
DET,2010,52.57,18.97,5,10,3,19.2,83.9,44,38,,,,,
EDM,2010,44.61,13.65,-1,2,7,17.3,78.0,27,19,,,,,
FLA,2010,44.56,17.45,-1,8,12,14.2,79.4,32,26,,,,,
L.A,2010,53.69,18.25,2,8,5,20.8,80.3,46,36,,,,,
MIN,2010,51.21,15.68,-1,3,9,19.1,82.7,38,33,,,,,
MTL,2010,44.62,19.02,9,7,4,21.8,83.0,39,32,,,,,
NSH,2010,48.08,18.7,2,7,7,16.4,77.1,47,39,,,,,
N.J,2010,51.86,21.08,1,13,2,18.7,82.8,48,42,,,,,
NYI,2010,47.7,18.92,-1,4,4,16.0,76.3,34,26,,,,,
NYR,2010,51.29,20.02,-1,7,10,18.3,84.3,38,35,,,,,
OTT,2010,53.72,17.75,2,9,7,16.9,84.3,44,39,,,,,
PHI,2010,50.92,21.28,14,7,5,21.5,83.0,41,37,,,,,
ARI,2010,54.16,19.67,3,6,7,14.6,84.5,50,36,,,,,
