Team,GF%,AdjGF%,5v5_xGF%,5v5_CF%,Time_Led,5v5_Sh%,5v5_Sv%,PP%,PK%,ROWins,,GF,GA,,,,,,,,,
ANA,52.5,53,48.41,48.62,22,8.16,93.35,17.8,83.2,40,,231,209,3,Anaheim Ducks,23:54,20:41,16:25,1.232,23:54,0.995833333,23:54
ARI,45.08,,46.18,48.00,,7.28,92.15,16.9,79.5,27,,206,251,25,Arizona Coyotes,16:46,23:17,20:55,0.854,16:46,0.698611111,16:46
BOS,55.86,54,53.48,53.80,25,7.82,92.34,23.5,83.7,47,,267,211,9,Boston Bruins,21:24,22:09,17:12,1.366,21:24,0.891666667,21:24
BUF,41.68,,45.05,47.58,,6.16,91.63,19.1,77.9,24,,198,277,31,Buffalo Sabres,13:18,20:47,26:35:00,0.756,13:18,0.554166667,13:18
CGY,47.07,,53.12,54.47,,7.04,90.97,16,81.8,35,,225,253,23,Calgary Flames,17:08,23:41,19:54,1.024,17:08,0.713888889,17:08
CAR,51.08,,51.94,51.55,,7.44,92.85,18.4,77.5,33,,236,226,20,Carolina Hurricanes,18:28,23:56,18:22,1.012,18:28,0.769444444,18:28
CHI,47.06,,52.62,53.45,,6.79,91.92,16,79.1,32,,216,243,22,Chicago Blackhawks,17:33,22:22,20:39,0.927,17:33,0.73125,17:33
COL,47.3,,49.59,52.36,,7.08,91.82,21.9,83.3,41,,228,254,10,Colorado Avalanche,21:14,21:51,17:26,1.159,21:14,0.884722222,21:14
CBJ,51.93,,46.29,47.57,,8.21,93.24,17.2,76.2,39,,255,236,12,Columbus Blue Jackets,20:36,22:16,18:03,1.183,20:36,0.858333333,20:36
DAL,50.99,,53.54,51.04,,7.69,92.73,19.3,80.8,38,,231,222,15,Dallas Stars,19:33,22:18,18:54,1.122,19:33,0.814583333,19:33
DET,45.34,,48.58,48.80,,7.53,91.98,17.5,77.5,25,,209,252,24,Detroit Red Wings,16:57,21:32,22:18,0.89,16:57,0.70625,16:57
EDM,46.64,,50.89,50.62,,7.44,91.74,14.8,76.7,31,,229,262,27,Edmonton Oilers,15:32,22:05,23:04,0.951,15:32,0.647222222,15:32
FLA,50.2,,48.72,49.14,,7.71,92.32,18.9,80.2,41,,245,243,11,Florida Panthers,20:39,21:42,18:18,1.171,20:39,0.860416667,20:39
L.A,53.99,,48,50.05,,7.8,93.09,20.4,85,43,,237,202,21,Los Angeles Kings,18:10,21:22,21:14,1.195,18:10,0.756944444,18:10
MIN,52.19,,53.58,47.18,,8.19,92.72,20.4,81.3,42,,250,229,5,Minnesota Wild,22:21,22:03,16:19,1.232,22:21,0.93125,22:21
MTL,44.52,,51.24,50.49,,6.38,92.19,21.2,74.1,27,,207,258,28,Montreal Canadiens,15:20,22:49,22:34,0.866,15:20,0.638888889,15:20
NSH,50.31,,50.32,48.63,,7.91,91.73,21.2,81.9,47,,243,240,2,Nashville Predators,25:02:00,22:26,13:35,1.427,25:02:00,1.043055556,1:02
N.J,56.13,,50.93,51.52,,8.19,93.55,21.4,81.8,39,,261,204,16,New Jersey Devils,19:29,21:29,19:53,1.183,19:29,0.811805556,19:29
NYI,47.11,,46.87,47.47,,8.84,91.71,23.2,73.2,32,,261,293,19,New York Islanders,18:35,18:34,23:37,0.976,18:35,0.774305556,18:35
NYR,46.44,,47.12,45.90,,7.55,92.18,21.2,81.4,31,,228,263,29,New York Rangers,15:12,20:34,24:58:00,0.939,15:12,0.633333333,15:12
OTT,43.54,,45.87,47.12,,7.69,90.84,16.6,76.2,26,,219,284,30,Ottawa Senators,14:10,21:50,24:48:00,0.817,14:10,0.590277778,14:10
PHI,51.34,,50.54,49.79,,7.88,92.48,20.7,75.8,40,,249,236,18,Philadelphia Flyers,18:50,25:02:00,17:04,1.195,18:50,0.784722222,18:50
PIT,52.12,,52.69,52.23,,7.29,91.03,26.2,80,45,,270,248,17,Pittsburgh Penguins,19:28,21:33,19:33,1.22,19:28,0.811111111,19:28
S.J,52.22,,51.92,50.80,,7.5,91.64,20.6,84.8,40,,247,226,13,San Jose Sharks,20:34,21:04,19:10,1.22,20:34,0.856944444,20:34
STL,50.11,,51.46,51.73,,7.17,92.87,15.4,79.7,41,,223,222,14,St. Louis Blues,20:33,21:41,18:20,1.146,20:33,0.85625,20:33
T.B,55.34,,52.76,51.62,,9.35,92.93,23.9,76.1,48,,290,234,4,Tampa Bay Lightning,23:40,20:13,16:50,1.378,23:40,0.986111111,23:40
TOR,54,,51.1,49.86,,9.01,92.81,25,81.4,42,,270,230,6,Toronto Maple Leafs,22:18,22:19,16:13,1.28,22:18,0.929166667,22:18
VAN,45.76,,46.57,47.68,,7.21,92.15,21.4,78.3,31,,216,256,26,Vancouver Canucks,16:08,19:36,24:54:00,0.89,16:08,0.672222222,16:08
VGK,54.27,,50.67,50.96,,8.38,92.19,21.4,81.4,47,,267,225,7,Vegas Golden Knights,22:17,22:36,15:55,1.329,22:17,0.928472222,22:17
WSH,55.83,,52.79,51.50,,8.53,92.54,22.5,80.3,46,,273,216,8,Washington Capitals,21:56,21:26,17:18,1.28,21:56,0.913888889,21:56
WPG,51.82,,46.88,47.99,,9.14,92.47,23.4,81.8,48,,256,238,1,Winnipeg Jets,27:04:00,19:55,13:46,1.39,27:04:00,1.127777778,3:04
