"","lambda=0.044","lambda=0.0434724252649816","lambda=0.0429511763277138","lambda=0.0424361773397632","lambda=0.0419273533621446","lambda=0.041424630354416","lambda=0.0409279351639053","lambda=0.0404371955150656","lambda=0.0399523399989576","lambda=0.0394732980628595","lambda=0.039"
"alpha=0.96",1.33518666835163,1.33516999955871,1.33515456299212,1.33514073037767,1.33512935347837,1.33511922977896,1.3351114901128,1.33510922588466,1.33511181990561,1.33511862100662,1.33513002381251
"alpha=0.963333333333333",1.3344082090351,1.33440213439649,1.33439987049749,1.33439790042397,1.33439728290439,1.33439824890373,1.33440028618631,1.33440298784958,1.33440840175286,1.33441872056714,1.33443321940129
"alpha=0.966666666666667",1.33392123923297,1.33390305940666,1.33388805411834,1.33387599777288,1.33386555489364,1.33385805775608,1.33385386217795,1.33385527968613,1.33386000135965,1.33386776278218,1.33387983823812
"alpha=0.97",1.33505391178194,1.33503298810844,1.3350153715618,1.3349987985706,1.33498515731218,1.3349745373928,1.33496571310355,1.33495931596986,1.33495636089103,1.33495673963253,1.33496230547701
"alpha=0.973333333333333",1.33498942608915,1.33496946059673,1.33495309178806,1.33493908090813,1.33492778399075,1.33491802251149,1.33491017294119,1.33490410792231,1.33490269871244,1.33490611684848,1.33491311588849
"alpha=0.976666666666667",1.33543962407672,1.33542789782357,1.33542078086152,1.33541500454177,1.3354109432647,1.33540852388494,1.33540627943492,1.33540563477306,1.33540787689556,1.33541322601653,1.33542191915737
"alpha=0.98",1.33512324682733,1.33510804303147,1.33509725976062,1.33508660647404,1.3350782170201,1.33507045718307,1.3350638138318,1.33505936369629,1.33505653992913,1.33505680799373,1.33506030212511
"alpha=0.983333333333333",1.33429946811176,1.33427802029292,1.33426034444184,1.33424373860986,1.33423041020886,1.33421841784937,1.33420820735221,1.33420004072413,1.334196720087,1.33419801749478,1.33420356442564
"alpha=0.986666666666667",1.3363233940381,1.33631512872863,1.33631445134113,1.33631417815987,1.33631439223258,1.336315182244,1.33631723500222,1.33632112967005,1.33632860642335,1.33633905401365,1.33635213654324
"alpha=0.99",1.33474822156628,1.33472737837351,1.33471032329469,1.3346942125008,1.33468009738459,1.33466942503929,1.33466137096833,1.33465466378754,1.33464990642847,1.33464765435226,1.3346500493614
"alpha=0.993333333333333",1.33433094525089,1.33431719533143,1.33430810991287,1.33429835377133,1.33428911759542,1.33428085105329,1.33427508646481,1.33427286234555,1.33427402952422,1.33427817591933,1.33428394275162
"alpha=0.996666666666667",1.33499766962084,1.33499028040985,1.3349896934848,1.3349903761299,1.33499261378015,1.33499543693106,1.33499802233912,1.33500215371652,1.33500749530986,1.33501460187425,1.33502410046683
"alpha=1",1.33433092330835,1.33431275909658,1.33430175185782,1.33429141209993,1.33428124882131,1.33427140870687,1.3342629133875,1.33425750017647,1.33425296626393,1.33425224759542,1.33425441716183
