,lambda=0.04,lambda=0.0392401575326966,lambda=0.0384947490797711,lambda=0.0377635004517961,lambda=0.0370461426678634,lambda=0.0363424118566428,lambda=0.0356520491593201,lambda=0.034974800634379,lambda=0.0343104171641922,lambda=0.033658654363386,lambda=0.0330192724889463,lambda=0.0323920363520321,lambda=0.0317767152314644,lambda=0.0311730827888575,lambda=0.030580916985364,lambda=0.03
alpha=0.95,1.312618547,1.312459033,1.312315045,1.312216108,1.312159963,1.312153444,1.312191182,1.312274078,1.312402803,1.312576522,1.312797922,1.313064798,1.313380152,1.313738627,1.314144151,1.314598671
alpha=0.955,1.311952489,1.311780665,1.311625485,1.311516306,1.311451682,1.311431557,1.311455113,1.311525549,1.31164182,1.311805642,1.312017655,1.312277525,1.312588813,1.312950273,1.313358628,1.313812688
alpha=0.96,1.311804635,1.311617784,1.311443852,1.311315736,1.311230261,1.311193085,1.311202571,1.311259088,1.31136187,1.311510053,1.3117056,1.311947772,1.312238573,1.312578506,1.312964403,1.313399791
alpha=0.965,1.312068139,1.311863576,1.311673856,1.311529777,1.311431414,1.311377679,1.311371924,1.311415804,1.311508623,1.311647489,1.311830826,1.312059778,1.312336081,1.31266365,1.313038123,1.313457178
alpha=0.97,1.311892034,1.311671602,1.311461934,1.311297139,1.311178041,1.311107438,1.311082548,1.31110165,1.31116938,1.311285284,1.3114479,1.311655492,1.311909858,1.312209916,1.312557478,1.312954267
alpha=0.975,1.31247248,1.312228918,1.312000619,1.311822412,1.311690393,1.311600752,1.311558686,1.311561774,1.311610183,1.311704386,1.311841421,1.312023288,1.312251036,1.312525426,1.312849598,1.31322399
alpha=0.98,1.312667594,1.312447079,1.312240991,1.312082359,1.311968658,1.311903482,1.311887193,1.311916605,1.311990984,1.312111827,1.312280452,1.312496576,1.312758984,1.313065674,1.313418165,1.313819641
alpha=0.985,1.312552613,1.312314476,1.312089661,1.311909683,1.3117756,1.311688086,1.311643962,1.311642503,1.311688043,1.311778227,1.311911505,1.312088183,1.312311868,1.312585588,1.312907299,1.313272972
alpha=0.99,1.311865695,1.311615494,1.311382087,1.311194796,1.311052289,1.310955903,1.310908659,1.310907249,1.310951208,1.311041415,1.31117563,1.311354318,1.311577069,1.311848088,1.312167376,1.312532325
alpha=0.995,1.312948659,1.312692333,1.312446148,1.31224795,1.312094833,1.31198481,1.311917145,1.311896654,1.311922621,1.311992608,1.312109605,1.312274271,1.312484912,1.312741695,1.31304626,1.313399904
alpha=1,1.312440951,1.312178384,1.311930183,1.311728438,1.311573415,1.311465891,1.311407899,1.311395079,1.31142615,1.311497231,1.311611978,1.311773308,1.311980764,1.312235324,1.312534946,1.312881371
