"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10"
"dGF%",-0.491202935190992,0.0877761760593051,0.239559872984584,-0.0957031496816714,-0.0122284642401701,0.0455703425214114,-0.170252946394246,-0.234177181524946,0.238986251837198,0.735731850369075
"dAdjGF%",-0.484307062110335,0.0879330271738517,0.241874294469022,-0.0446164941060747,-0.0309747019287479,0.100977860361614,-0.298504422511782,-0.253604800452803,0.290760083610792,-0.669404940760789
"d5v5_xGF%",-0.266404615257329,-0.496043959645698,-0.136695704474283,0.0700950078329168,-0.264962482811686,0.255237418007856,-0.350009778128733,0.632495600560476,-0.00748097769926967,0.0374859164663978
"d5v5_CF%",-0.238852361619043,-0.572650244654318,-0.0583258357026124,-0.142212983893017,-0.0825904168036518,-0.0405907414808414,0.13343535246086,-0.495646961319634,-0.56423254428598,-0.0331173356907881
"dTime_Led",-0.408538357649387,0.0512919155070928,-0.176915108600236,0.104411507398928,-0.211617470886905,-0.771670349607792,0.303494233771348,0.213244637386517,0.086940068709358,-0.0535457552217808
"d5v5_Sh%",-0.141294212089759,0.528528807685187,-0.128356615359551,0.433471661887881,-0.312537934046798,0.0947840716464451,-0.279279551310022,-0.0527682069459522,-0.55502898849084,0.0285907807676918
"d5v5_Sv%",0.0350467335876953,0.187172271162449,0.578347797685427,-0.58253046868086,-0.153203713519704,-0.136950419820216,-0.0291274090321103,0.323953081676715,-0.374656339723512,-0.0390150232429962
"dPP%",-0.171575533278458,0.15861939851035,-0.496559846905026,-0.392994058853724,0.591797528328688,-0.14034354087669,-0.367423231222053,0.0876973090089404,-0.178217444185839,-0.00360287119005935
"dPK%",-0.0806303488252835,-0.174100703198056,0.478435927925064,0.519464448155618,0.601857797569368,-0.177994369398139,-0.0665422332185789,0.160043131086,-0.201212655421552,0.000657741064841857
"dROWins",-0.414860388589758,0.195184590491542,-0.0654759808292863,-0.0358273361163289,0.208504971612636,0.496326703452593,0.656669842919734,0.220501877237187,-0.108160526678585,-0.0536055201542631
