"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10"
"dGF%",-0.475526495939448,0.0528341134386915,0.191160708709071,0.0490223294940993,0.0408046964914518,0.124121697913618,0.0178215527417831,-0.249659894394164,0.316802961370109,0.743003698968513
"dAdjGF%",-0.470708937902015,0.0513405030428703,0.192636228806918,0.0205254212396663,0.00328747122879511,0.190893692020589,-0.0542957748712326,-0.324383965801147,0.392569049334397,-0.66297253556015
"d5v5_xGF%",-0.229540661971948,-0.529246270951065,-0.0954753130118329,0.034074071386932,-0.29713391111111,0.394221131890213,-0.514255087909174,0.38012780449167,-0.0588067087587602,0.0286418802827108
"d5v5_CF%",-0.197594829804834,-0.595673936024145,0.00569199933560556,0.187064842221179,-0.0252215542822202,-0.15477151543662,0.321530053619122,-0.46034655318626,-0.480005992687443,-0.0284000863841394
"dTime_Led",-0.413487860454557,0.0358590890692103,-0.128729501354624,0.0156771742988217,-0.238035564769756,-0.816819064534593,-0.150333974813711,0.238936498184281,0.0784016758116538,-0.0351107600954076
"d5v5_Sh%",-0.214592210058818,0.485592008647425,-0.188478523148089,-0.321286923368205,-0.420713127061725,0.173113685646921,-0.163850975709348,-0.28324896523671,-0.514729871860992,0.0202311821062688
"d5v5_Sv%",-0.037169432402314,0.267519454963248,0.601087438848171,0.581144420701743,0.0735623363020495,-0.0243024958350052,-0.258077269694305,0.127023336231984,-0.37212673073118,-0.0282434103139898
"dPP%",-0.206192597703235,0.0943582009854039,-0.530616321908092,0.174126215567459,0.701481401792618,0.0134489187771595,-0.336435925492053,-0.0859330328666454,-0.154231597188915,-0.00945983023445054
"dPK%",-0.0864670682875658,-0.16155112784369,0.46908032602356,-0.699076228933891,0.400199707507743,-0.131940284780636,-0.190079426769477,0.0655681101637772,-0.199088225766525,-0.006871771517044
"dROWins",-0.438382800600579,0.126448752127602,-0.0470037430420217,-0.0281746218314766,0.134505151183205,0.231186988866009,0.602929387630465,0.557574807049458,-0.196636640710298,-0.0648809073409959
